llm,latency,tokens,tools_exact_match,nodes_jaccard_similarity,tools_extra_steps,pass@1,nodes_exact_match,nodes_longest_common_subsequence,tools_longest_common_subsequence,human_correct,nodes_edit_distance,pass@2,tools_jaccard_similarity,tools_edit_distance,nodes_unmatched_steps,tools_unmatched_steps,nodes_extra_steps,is_correct
llama3.3:latest,166.23,25455.0,0.02,0.19,0.32,0.12,0.02,0.14,0.11,0.12,0.86,0.26,0.13,0.9,0.3,0.31,0.31,0.16
finetunedllama:latest,157.69,24093.0,0.08,0.21,0.36,0.21,0.04,0.19,0.15,0.16,0.81,0.31,0.16,0.85,0.34,0.36,0.36,0.16
qwen2.5:72b,246.58,32959.0,0.07,0.34,0.47,0.27,0.0,0.22,0.18,0.3,0.78,0.4,0.21,0.83,0.44,0.47,0.45,0.35
finetuned-qwen:latest,256.29,34959.0,0.09,0.37,0.53,0.28,0.0,0.25,0.24,0.33,0.75,0.43,0.29,0.77,0.5,0.53,0.52,0.31
command-a,73.62,42015.0,0.63,0.93,0.96,0.93,0.71,0.88,0.8,0.87,0.12,0.96,0.84,0.21,0.95,0.96,0.96,0.84
gpt-4o-mini,35.39,35428.0,0.41,0.76,0.84,0.77,0.38,0.67,0.59,0.7,0.33,0.82,0.63,0.41,0.83,0.84,0.83,0.7
gpt-4.1-mini,29.65,29896.0,0.53,0.88,0.96,0.93,0.56,0.84,0.75,0.85,0.17,0.95,0.8,0.25,0.95,0.96,0.96,0.87
gemini-2.0-flash,55.81,31656.0,0.48,0.73,0.75,0.73,0.53,0.69,0.6,0.67,0.31,0.74,0.63,0.4,0.75,0.75,0.75,0.68
o4-mini-high,504.21,50466.0,0.19,0.84,0.95,0.91,0.23,0.66,0.54,0.9,0.34,0.95,0.72,0.46,0.92,0.95,0.93,0.84
gpt-4o,43.99,33922.0,0.5,0.81,0.86,0.83,0.53,0.75,0.67,0.81,0.25,0.85,0.68,0.33,0.85,0.86,0.85,0.76
gpt-4.1,47.29,32709.0,0.53,0.89,0.93,0.91,0.63,0.82,0.71,0.87,0.18,0.92,0.73,0.29,0.92,0.93,0.92,0.87
claude-3-7-sonnet,267.31,42321.0,0.53,0.91,0.93,0.92,0.64,0.83,0.72,0.89,0.17,0.93,0.74,0.29,0.92,0.93,0.93,0.87
gemini-2.5-pro-preview,81.85,39691.0,0.44,0.88,0.91,0.86,0.56,0.8,0.67,0.79,0.2,0.9,0.72,0.33,0.9,0.91,0.91,0.76
gpt-4.1-PC,273.46,27175.0,0.37,0.81,0.85,0.79,0.47,0.71,0.58,0.74,0.29,0.83,0.61,0.42,0.84,0.85,0.85,0.76
