,latency,tokens,tools_exact_match,nodes_jaccard_similarity,tools_extra_steps,pass@1,nodes_exact_match,nodes_longest_common_subsequence,tools_longest_common_subsequence,human_correct,nodes_edit_distance,pass@2,tools_jaccard_similarity,tools_edit_distance,nodes_unmatched_steps,tools_unmatched_steps,nodes_extra_steps,is_correct
Update-Dataset-Title,205.98,28628.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Delete-Dataset,335.89,25074.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Create-Dataset-And-Find-Tag,528.52,94039.0,0.0,0.8,0.79,0.67,0.0,0.65,0.52,0.8,0.35,0.8,0.71,0.56,0.76,0.79,0.8,0.6
Create-Binary-Classification,282.49,38869.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Create-semantic-model,553.39,87571.0,0.0,0.95,0.99,0.97,0.0,0.82,0.79,1.0,0.18,1.0,0.8,0.21,0.98,0.99,0.98,1.0
Describe-Dataset,357.22,63544.0,0.0,0.9,0.99,1.0,0.0,0.54,0.35,0.8,0.46,1.0,0.34,0.65,0.95,0.98,0.95,1.0
Upload-Ingest-Two,321.07,53176.0,0.4,1.0,1.0,1.0,0.6,0.85,0.78,0.8,0.15,1.0,0.83,0.27,0.99,1.0,0.99,1.0
Create-Dataset,120.31,21642.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Create-And-Ingest,212.82,31699.0,0.8,0.95,1.0,1.0,0.8,0.91,0.9,0.8,0.09,1.0,0.9,0.1,0.99,1.0,0.99,1.0
Create-Ontology,112.09,18395.0,0.8,1.0,1.0,1.0,0.8,0.92,0.9,1.0,0.08,1.0,0.9,0.1,1.0,1.0,1.0,1.0
Create-Regression,279.72,38623.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Labeling-and-Semantic-Mapping,537.56,84002.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Versions-And-Deltas,315.63,48009.0,0.2,0.7,0.8,0.73,0.2,0.64,0.5,0.8,0.36,0.8,0.6,0.5,0.78,0.79,0.79,0.4
Query-Semantic-Mapping,467.08,70859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
List-Tags,265.81,38786.0,0.8,0.95,0.99,0.95,0.8,0.87,0.86,1.0,0.13,0.95,0.87,0.14,0.98,0.99,0.98,1.0
Find-Related-Datasets,203.47,28967.0,0.0,0.95,1.0,1.0,0.8,0.96,0.5,0.2,0.04,1.0,0.5,0.5,1.0,0.99,1.0,0.2
Workspace-Title,99.88,15224.0,0.0,1.0,0.99,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.99,1.0,1.0
Search-Chemical-Datasets,277.87,68320.0,0.2,0.65,0.79,0.73,0.2,0.47,0.42,1.0,0.53,0.8,0.43,0.58,0.78,0.79,0.78,0.8
List-Users,100.17,14829.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
List-Columns,198.66,28123.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Get-Dataset-Description,295.48,49476.0,0.0,1.0,0.99,1.0,0.2,0.67,0.31,1.0,0.33,1.0,0.32,0.69,0.97,0.99,0.97,1.0
Get-Stats,124.15,17920.0,0.6,1.0,1.0,1.0,0.6,0.84,0.8,1.0,0.16,1.0,0.8,0.2,0.99,1.0,0.99,1.0
Get-Row-Count,199.81,26466.0,0.0,1.0,0.99,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,0.5,1.0,0.99,1.0,1.0
Get-Linked-Datasets,220.51,39334.0,0.6,0.9,1.0,1.0,0.6,0.9,0.83,0.8,0.1,1.0,0.83,0.17,0.99,1.0,1.0,0.8
Get-Lineage,216.87,31790.0,0.8,1.0,1.0,1.0,0.8,0.94,0.93,1.0,0.06,1.0,0.93,0.07,1.0,1.0,1.0,1.0
Get-All-Versions,224.33,31720.0,0.8,1.0,1.0,1.0,0.8,0.91,0.9,1.0,0.09,1.0,1.0,0.1,0.99,1.0,0.99,1.0
Get-all-datasets,160.73,47571.0,0.4,0.8,0.8,0.8,0.2,0.58,0.6,1.0,0.42,0.8,0.6,0.4,0.79,0.8,0.79,0.8
