,latency,tokens,tools_exact_match,nodes_jaccard_similarity,tools_extra_steps,pass@1,nodes_exact_match,nodes_longest_common_subsequence,tools_longest_common_subsequence,human_correct,nodes_edit_distance,pass@2,tools_jaccard_similarity,tools_edit_distance,nodes_unmatched_steps,tools_unmatched_steps,nodes_extra_steps,is_correct
Update-Dataset-Title,63.18,32519.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Delete-Dataset,115.48,29516.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Upload-Ingest-Two,85.96,53794.0,1.0,0.95,1.0,1.0,0.8,0.93,1.0,1.0,0.07,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Create-Dataset-And-Find-Tag,137.48,95792.0,0.0,0.95,0.99,0.91,0.0,0.73,0.6,0.2,0.27,0.94,0.91,0.43,0.93,0.98,0.99,0.2
Create-Dataset,30.61,23165.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Create-And-Ingest,46.74,31671.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Create-Ontology,52.14,18923.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8
Create-Binary-Classification,89.39,56299.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.0,0.2,0.8,0.8,0.2,0.8,0.8,0.8,0.8
Create-Regression,68.79,43775.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Create-semantic-model,154.94,87327.0,0.6,1.0,1.0,0.96,0.6,0.92,0.88,1.0,0.08,1.0,0.96,0.16,0.99,1.0,0.99,1.0
Describe-Dataset,123.98,61746.0,0.0,0.8,0.99,0.93,0.0,0.68,0.45,1.0,0.32,1.0,0.42,0.55,0.98,0.99,0.98,1.0
Labeling-and-Semantic-Mapping,179.13,92076.0,0.4,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.0,1.0,1.0,0.2,1.0,0.99,1.0,0.6
Versions-And-Deltas,82.69,50095.0,0.6,0.95,1.0,0.88,0.6,0.88,0.87,1.0,0.12,1.0,1.0,0.13,0.99,1.0,0.99,0.8
Query-Semantic-Mapping,103.15,56545.0,0.0,0.75,0.79,0.53,0.0,0.45,0.23,0.4,0.55,0.7,0.37,0.77,0.76,0.79,0.78,0.4
Find-Related-Datasets,50.7,31936.0,0.0,1.0,1.0,0.9,0.4,0.78,0.53,0.0,0.22,1.0,0.7,0.47,0.99,1.0,1.0,0.0
Workspace-Title,34.78,23711.0,0.0,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.6,0.4,0.0,1.0,0.4,0.4,0.4,0.4
Search-Chemical-Datasets,45.41,29153.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
List-Users,29.8,20163.0,0.8,0.95,1.0,0.9,0.8,0.89,0.87,1.0,0.11,1.0,1.0,0.13,0.99,1.0,0.99,1.0
List-Tags,56.05,35752.0,0.6,0.95,1.0,1.0,0.6,0.89,0.87,1.0,0.11,1.0,0.93,0.13,0.99,1.0,0.99,1.0
List-Columns,50.92,32044.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Get-Dataset-Description,78.1,35924.0,0.0,0.8,0.99,1.0,0.2,0.84,0.5,1.0,0.16,1.0,0.5,0.5,0.98,0.99,1.0,1.0
Get-Stats,28.48,19990.0,0.8,0.95,1.0,0.9,0.8,0.89,0.87,1.0,0.11,1.0,0.87,0.13,0.99,1.0,0.99,1.0
Get-Row-Count,49.14,31864.0,0.0,1.0,0.99,0.9,0.8,0.94,0.47,1.0,0.06,1.0,0.47,0.53,1.0,0.99,1.0,1.0
Get-Linked-Datasets,49.97,31114.0,0.6,1.0,1.0,1.0,0.6,0.84,0.8,0.6,0.16,1.0,0.8,0.2,1.0,1.0,1.0,0.6
Get-Lineage,50.78,32855.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Get-All-Versions,51.83,32137.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Get-all-datasets,78.11,44515.0,0.8,0.95,1.0,1.0,0.8,0.92,0.9,1.0,0.08,1.0,1.0,0.1,1.0,1.0,1.0,1.0
