,latency,tokens,tools_exact_match,nodes_jaccard_similarity,tools_extra_steps,pass@1,nodes_exact_match,nodes_longest_common_subsequence,tools_longest_common_subsequence,human_correct,nodes_edit_distance,pass@2,tools_jaccard_similarity,tools_edit_distance,nodes_unmatched_steps,tools_unmatched_steps,nodes_extra_steps,is_correct
Update-Dataset-Title,205.93,30454.0,0.0,0.75,0.99,0.6,0.0,0.43,0.5,0.8,0.57,1.0,0.6,0.5,0.94,0.99,0.95,1.0
Delete-Dataset,195.41,23975.0,0.0,0.75,0.99,0.5,0.0,0.5,0.67,1.0,0.5,1.0,0.67,0.33,0.95,0.99,0.97,1.0
Upload-Ingest-Two,238.88,44725.0,0.0,0.15,0.2,0.1,0.0,0.15,0.05,0.0,0.85,0.1,0.05,1.0,0.19,0.2,0.2,0.0
Create-Dataset-And-Find-Tag,314.93,57808.0,0.0,0.2,0.2,0.07,0.0,0.14,0.07,0.0,0.86,0.13,0.09,1.0,0.18,0.2,0.2,0.2
Create-Dataset,513.64,106472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Create-And-Ingest,367.15,70041.0,0.0,0.3,0.4,0.2,0.0,0.12,0.27,0.4,0.88,0.4,0.27,0.73,0.34,0.4,0.35,0.4
Create-Ontology,181.43,20265.0,0.0,0.75,0.99,0.0,0.0,0.43,0.35,1.0,0.57,0.6,1.0,0.65,0.95,0.99,0.95,1.0
Create-Binary-Classification,385.39,52089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Create-Regression,335.46,48686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Create-semantic-model,230.79,33113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Describe-Dataset,379.7,39506.0,0.0,0.5,0.79,0.33,0.0,0.25,0.29,0.4,0.77,0.8,0.38,0.71,0.72,0.79,0.75,0.8
Labeling-and-Semantic-Mapping,289.91,44314.0,0.0,0.45,0.6,0.1,0.0,0.28,0.16,0.0,0.72,0.15,0.1,0.94,0.55,0.59,0.59,0.2
Versions-And-Deltas,305.93,40637.0,0.0,0.45,0.59,0.35,0.0,0.22,0.12,0.0,0.78,0.5,0.22,0.88,0.53,0.58,0.55,0.0
Query-Semantic-Mapping,186.76,27178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Find-Related-Datasets,279.7,29037.0,0.2,0.4,0.6,0.2,0.0,0.31,0.37,0.0,0.69,0.4,0.4,0.63,0.58,0.6,0.59,0.0
Workspace-Title,96.87,16807.0,0.0,0.6,0.6,0.6,0.0,0.51,0.0,0.6,0.49,0.6,0.0,1.0,0.6,0.6,0.6,0.6
Search-Chemical-Datasets,93.09,13135.0,0.0,0.55,1.0,0.6,0.0,0.5,0.07,0.0,0.5,0.8,0.1,0.93,0.97,0.99,0.98,0.0
List-Users,110.8,19455.0,0.0,0.3,0.4,0.0,0.0,0.16,0.13,0.4,0.84,0.0,0.2,0.87,0.38,0.4,0.38,0.4
List-Tags,137.12,21980.0,0.0,0.15,0.2,0.1,0.0,0.08,0.1,0.2,0.92,0.1,0.13,0.9,0.19,0.2,0.19,0.2
List-Columns,142.57,21791.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,0.95,1.0,0.99,1.0
Get-Dataset-Description,359.02,35295.0,0.0,0.8,0.79,0.17,0.0,0.42,0.2,1.0,0.58,0.7,0.33,0.8,0.76,0.79,0.76,0.6
Get-Stats,241.85,23910.0,0.2,0.3,0.6,0.6,0.0,0.27,0.2,0.4,0.73,0.6,0.2,0.8,0.58,0.6,0.59,0.2
Get-Row-Count,176.09,27301.0,0.0,0.35,0.4,0.13,0.0,0.19,0.07,0.0,0.82,0.2,0.1,0.93,0.37,0.39,0.38,0.0
Get-Linked-Datasets,197.45,27413.0,0.0,0.15,0.2,0.0,0.0,0.09,0.08,0.0,0.91,0.1,0.13,0.92,0.19,0.2,0.19,0.0
Get-Lineage,302.33,29036.0,0.0,0.6,0.79,0.23,0.0,0.34,0.3,0.4,0.66,0.5,0.4,0.75,0.75,0.79,0.76,0.0
Get-All-Versions,156.39,21960.0,0.0,0.55,1.0,0.7,0.0,0.45,0.37,1.0,0.55,1.0,0.33,0.63,0.94,0.99,0.98,0.8
Get-all-datasets,495.36,17496.0,1.0,0.5,1.0,1.0,0.0,0.54,1.0,0.0,0.46,1.0,1.0,0.0,0.97,1.0,0.99,0.0
