,latency,tokens,tools_exact_match,nodes_jaccard_similarity,tools_extra_steps,pass@1,nodes_exact_match,nodes_longest_common_subsequence,tools_longest_common_subsequence,human_correct,nodes_edit_distance,pass@2,tools_jaccard_similarity,tools_edit_distance,nodes_unmatched_steps,tools_unmatched_steps,nodes_extra_steps,is_correct
Update-Dataset-Title,175.11,26862.0,0.0,0.25,0.4,0.2,0.0,0.2,0.27,0.4,0.8,0.4,0.27,0.73,0.38,0.4,0.39,0.4
Delete-Dataset,181.38,21590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Upload-Ingest-Two,133.74,24485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Create-Dataset-And-Find-Tag,125.5,21222.0,0.0,0.15,0.2,0.2,0.0,0.06,0.03,0.0,0.94,0.2,0.03,0.97,0.19,0.2,0.2,0.0
Create-Dataset,116.87,20215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Create-And-Ingest,139.28,23755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Create-Ontology,116.42,20814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Create-Binary-Classification,260.01,39020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Create-Regression,296.76,47059.0,0.0,0.15,0.2,0.0,0.0,0.06,0.02,0.0,0.94,0.13,0.05,0.98,0.17,0.19,0.18,0.2
Create-semantic-model,167.78,22464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Describe-Dataset,245.93,29964.0,0.0,0.3,0.6,0.53,0.0,0.31,0.3,0.6,0.69,0.6,0.27,0.7,0.57,0.6,0.59,0.6
Labeling-and-Semantic-Mapping,132.66,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Versions-And-Deltas,240.6,39007.0,0.0,0.3,0.59,0.13,0.0,0.2,0.1,0.0,0.8,0.27,0.15,0.9,0.53,0.59,0.57,0.0
Query-Semantic-Mapping,185.05,25360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Find-Related-Datasets,138.05,21460.0,0.2,0.4,0.79,0.4,0.0,0.34,0.48,0.0,0.66,0.8,0.5,0.52,0.76,0.79,0.78,0.0
Workspace-Title,43.94,7101.0,0.0,1.0,0.99,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.99,1.0,1.0
Search-Chemical-Datasets,111.94,16468.0,0.2,0.4,0.8,0.2,0.0,0.33,0.27,0.0,0.67,0.6,0.3,0.73,0.77,0.79,0.78,0.0
List-Users,91.64,16394.0,0.0,0.2,0.4,0.2,0.0,0.21,0.1,0.2,0.79,0.4,0.1,0.9,0.39,0.4,0.4,0.2
List-Tags,187.78,30245.0,0.0,0.2,0.39,0.0,0.0,0.11,0.08,0.0,0.89,0.0,0.13,0.92,0.36,0.39,0.38,0.0
List-Columns,116.39,17373.0,1.0,0.5,1.0,1.0,0.0,0.6,1.0,1.0,0.4,1.0,1.0,0.0,0.96,1.0,1.0,1.0
Get-Dataset-Description,214.26,28684.0,0.0,0.45,0.59,0.3,0.0,0.34,0.2,0.8,0.66,0.6,0.3,0.8,0.56,0.59,0.59,0.6
Get-Stats,213.01,28986.0,0.0,0.35,0.59,0.2,0.0,0.24,0.0,0.0,0.76,0.3,0.0,1.0,0.57,0.59,0.57,0.0
Get-Row-Count,147.69,26096.0,0.0,0.15,0.2,0.0,0.0,0.09,0.0,0.0,0.91,0.0,0.0,1.0,0.18,0.2,0.19,0.0
Get-Linked-Datasets,111.44,19391.0,0.0,0.1,0.2,0.2,0.0,0.08,0.0,0.0,0.92,0.2,0.0,1.0,0.2,0.2,0.2,0.0
Get-Lineage,126.94,22112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Get-All-Versions,117.88,19175.0,0.0,0.4,0.8,0.2,0.0,0.41,0.4,0.2,0.59,0.8,0.33,0.8,0.76,0.8,0.79,0.4
Get-all-datasets,119.71,13210.0,0.8,0.5,1.0,0.8,0.0,0.53,0.9,0.0,0.47,1.0,0.9,0.1,0.97,1.0,0.99,0.0
