,latency,tokens,tools_exact_match,nodes_jaccard_similarity,tools_extra_steps,pass@1,nodes_exact_match,nodes_longest_common_subsequence,tools_longest_common_subsequence,human_correct,nodes_edit_distance,pass@2,tools_jaccard_similarity,tools_edit_distance,nodes_unmatched_steps,tools_unmatched_steps,nodes_extra_steps,is_correct
Update-Dataset-Title,62.21,24931.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Delete-Dataset,92.75,21962.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Upload-Ingest-Two,73.62,44562.0,0.0,0.8,0.8,0.75,0.2,0.54,0.46,0.4,0.46,0.75,0.5,0.59,0.79,0.8,0.79,0.8
Labeling-and-Semantic-Mapping,100.43,47056.0,0.0,0.35,0.4,0.33,0.0,0.35,0.31,0.4,0.65,0.4,0.4,0.69,0.39,0.4,0.39,0.4
Create-Dataset-And-Find-Tag,132.5,86942.0,0.0,0.2,0.2,0.17,0.0,0.18,0.1,0.2,0.82,0.2,0.17,0.9,0.19,0.2,0.2,0.2
Create-Dataset,25.64,18802.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Create-And-Ingest,52.41,29295.0,0.6,1.0,1.0,0.8,0.6,0.82,0.8,1.0,0.18,0.8,1.0,0.2,0.98,1.0,0.98,1.0
Create-Ontology,31.55,13621.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Create-Binary-Classification,64.51,37077.0,0.6,0.45,0.6,0.6,0.0,0.51,0.6,0.6,0.49,0.6,0.6,0.4,0.58,0.6,0.6,0.6
Create-Regression,58.09,32729.0,1.0,0.75,1.0,1.0,0.0,0.86,1.0,1.0,0.14,1.0,1.0,0.0,0.98,1.0,1.0,1.0
Create-semantic-model,57.7,31013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Describe-Dataset,62.36,44777.0,0.2,0.95,0.99,0.89,0.4,0.73,0.52,0.8,0.27,1.0,0.47,0.48,0.97,0.99,0.97,1.0
Versions-And-Deltas,72.23,41553.0,0.2,0.45,0.6,0.6,0.0,0.5,0.47,0.6,0.5,0.6,0.6,0.53,0.59,0.6,0.6,0.2
Query-Semantic-Mapping,90.38,68320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Find-Related-Datasets,59.3,30030.0,0.0,0.95,1.0,0.9,0.6,0.85,0.48,0.0,0.15,0.9,0.6,0.52,0.98,0.99,0.99,0.0
Workspace-Title,20.94,13977.0,0.0,1.0,0.99,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.99,1.0,1.0
Search-Chemical-Datasets,49.2,26821.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4
List-Users,21.14,13232.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
List-Tags,61.63,26493.0,0.4,0.6,0.6,0.6,0.6,0.6,0.5,0.4,0.4,0.6,0.47,0.5,0.6,0.6,0.6,0.4
List-Columns,44.71,24540.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.8,0.8
Get-Dataset-Description,54.44,28925.0,0.0,0.3,0.4,0.4,0.0,0.32,0.2,0.4,0.68,0.4,0.2,0.8,0.39,0.4,0.4,0.4
Get-Stats,28.33,15969.0,0.8,1.0,1.0,0.9,0.8,0.87,0.85,1.0,0.13,0.9,0.9,0.15,0.99,1.0,0.99,1.0
Get-Row-Count,41.23,23021.0,0.0,1.0,0.99,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,0.5,1.0,0.99,1.0,1.0
Get-Linked-Datasets,36.41,23169.0,0.6,1.0,1.0,1.0,0.6,0.84,0.8,0.6,0.16,1.0,0.8,0.2,1.0,1.0,1.0,0.6
Get-Lineage,50.15,28786.0,0.4,0.6,0.6,0.6,0.4,0.54,0.53,0.6,0.46,0.6,0.53,0.47,0.6,0.6,0.6,0.6
Get-All-Versions,41.8,23697.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Get-all-datasets,21.25,33424.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
