,latency,tokens,tools_exact_match,nodes_jaccard_similarity,tools_extra_steps,pass@1,nodes_exact_match,nodes_longest_common_subsequence,tools_longest_common_subsequence,human_correct,nodes_edit_distance,pass@2,tools_jaccard_similarity,tools_edit_distance,nodes_unmatched_steps,tools_unmatched_steps,nodes_extra_steps,is_correct
Update-Dataset-Title,51.36,25899.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Delete-Dataset,80.93,22444.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Upload-Ingest-Two,72.89,40364.0,0.4,1.0,1.0,1.0,0.8,0.91,0.8,0.8,0.09,1.0,0.9,0.3,1.0,1.0,1.0,1.0
Create-Dataset-And-Find-Tag,218.81,86864.0,0.0,0.6,0.6,0.5,0.0,0.49,0.39,0.6,0.51,0.57,0.49,0.66,0.57,0.59,0.6,0.4
Create-Dataset,27.69,19158.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Create-And-Ingest,43.19,24236.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Create-Ontology,42.48,13906.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Labeling-and-Semantic-Mapping,280.71,87968.0,0.0,0.75,0.79,0.5,0.0,0.54,0.41,0.6,0.46,0.53,0.6,0.59,0.75,0.78,0.75,0.2
Create-semantic-model,224.6,76406.0,0.0,0.4,0.4,0.26,0.2,0.37,0.25,0.2,0.63,0.3,0.25,0.75,0.4,0.4,0.4,0.4
Create-Binary-Classification,94.74,45876.0,0.2,0.8,1.0,0.93,0.2,0.81,0.71,0.6,0.19,0.93,0.88,0.29,0.98,0.99,0.98,0.8
Create-Regression,101.28,41548.0,0.0,0.85,1.0,0.93,0.0,0.72,0.62,0.2,0.28,0.93,0.75,0.38,0.98,0.99,0.98,0.4
Describe-Dataset,85.35,56672.0,0.0,0.95,0.99,1.0,0.2,0.64,0.46,1.0,0.36,1.0,0.42,0.54,0.96,0.99,0.96,1.0
Versions-And-Deltas,79.52,42015.0,0.2,0.8,1.0,1.0,0.2,0.8,0.65,0.8,0.2,1.0,0.75,0.35,0.98,0.99,0.98,0.4
Query-Semantic-Mapping,150.34,63450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Find-Related-Datasets,61.14,35240.0,0.0,0.95,1.0,0.7,0.4,0.83,0.53,0.0,0.17,1.0,0.47,0.47,0.99,0.99,0.99,0.0
Workspace-Title,17.63,14759.0,0.0,1.0,0.99,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.99,1.0,1.0
Search-Chemical-Datasets,49.08,31501.0,0.8,0.95,1.0,1.0,0.8,0.92,0.9,1.0,0.08,1.0,0.9,0.1,1.0,1.0,1.0,1.0
List-Users,29.47,16935.0,0.8,0.95,1.0,1.0,0.8,0.92,0.9,1.0,0.08,1.0,1.0,0.1,1.0,1.0,1.0,1.0
List-Tags,95.75,53543.0,0.6,0.9,0.99,0.94,0.6,0.71,0.69,1.0,0.29,0.94,0.73,0.31,0.94,0.99,0.94,1.0
List-Columns,57.65,32303.0,0.2,1.0,1.0,0.6,0.2,0.77,0.73,1.0,0.23,1.0,1.0,0.27,0.98,1.0,0.98,1.0
Get-Dataset-Description,102.08,61393.0,0.0,1.0,0.98,0.85,0.0,0.48,0.22,1.0,0.52,1.0,0.3,0.78,0.94,0.98,0.94,1.0
Get-Stats,26.43,15687.0,0.8,1.0,1.0,1.0,0.8,0.92,0.9,1.0,0.08,1.0,0.9,0.1,1.0,1.0,1.0,1.0
Get-Row-Count,36.5,25460.0,0.0,1.0,0.99,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.6,0.5,1.0,0.99,1.0,1.0
Get-Linked-Datasets,61.4,43071.0,0.4,0.95,1.0,1.0,0.4,0.75,0.7,0.6,0.25,1.0,0.73,0.3,0.99,1.0,0.99,0.6
Get-Lineage,43.87,31314.0,0.6,1.0,1.0,1.0,0.6,0.89,0.87,1.0,0.11,1.0,0.87,0.13,0.99,1.0,0.99,0.4
Get-All-Versions,38.96,26359.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Get-all-datasets,36.17,37292.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
