,latency,tokens,tools_exact_match,nodes_jaccard_similarity,tools_extra_steps,pass@1,nodes_exact_match,nodes_longest_common_subsequence,tools_longest_common_subsequence,human_correct,nodes_edit_distance,pass@2,tools_jaccard_similarity,tools_edit_distance,nodes_unmatched_steps,tools_unmatched_steps,nodes_extra_steps,is_correct
Update-Dataset-Title,204.0,18506.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Delete-Dataset,229.69,16380.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8
Upload-Ingest-Two,425.12,44692.0,0.2,0.9,0.99,1.0,0.2,0.75,0.73,1.0,0.25,1.0,0.7,0.27,0.97,0.99,0.97,1.0
Create-Dataset-And-Find-Tag,545.05,53631.0,0.0,0.6,0.59,0.52,0.0,0.46,0.37,0.2,0.54,0.55,0.49,0.63,0.55,0.59,0.58,0.4
Create-Dataset,97.02,10115.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.99,1.0,1.0
Create-And-Ingest,198.91,20387.0,0.6,1.0,1.0,1.0,0.6,0.89,0.87,0.8,0.11,1.0,0.87,0.13,0.99,1.0,0.99,1.0
Create-Binary-Classification,348.84,31311.0,0.0,0.9,0.99,0.88,0.0,0.69,0.66,1.0,0.31,0.93,0.75,0.34,0.97,0.99,0.97,1.0
Create-Regression,272.27,25155.0,0.6,1.0,1.0,1.0,0.6,0.91,0.9,1.0,0.09,1.0,0.9,0.1,0.99,1.0,0.99,1.0
Create-semantic-model,363.44,34846.0,0.4,0.55,0.6,0.6,0.4,0.58,0.57,0.6,0.42,0.6,0.6,0.43,0.6,0.6,0.6,0.6
Describe-Dataset,396.2,38755.0,0.0,0.35,0.39,0.33,0.0,0.2,0.18,0.6,0.8,0.37,0.19,0.82,0.37,0.39,0.37,0.4
Labeling-and-Semantic-Mapping,444.88,44758.0,0.6,0.8,0.8,0.77,0.6,0.77,0.77,0.8,0.23,0.8,0.77,0.23,0.8,0.8,0.8,0.6
Versions-And-Deltas,334.79,31226.0,0.0,0.7,0.99,0.9,0.0,0.57,0.45,0.4,0.43,1.0,0.75,0.55,0.94,0.99,0.97,0.4
Query-Semantic-Mapping,385.98,35319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Find-Related-Datasets,238.04,25135.0,0.0,0.9,0.99,0.8,0.6,0.82,0.47,0.0,0.18,0.9,0.47,0.53,0.98,0.99,0.98,0.0
Search-Chemical-Datasets,186.9,28266.0,0.2,0.8,0.99,0.9,0.2,0.65,0.57,1.0,0.35,1.0,0.6,0.43,0.98,0.99,0.98,1.0
List-Tags,326.19,34327.0,0.0,0.3,0.4,0.33,0.0,0.23,0.21,0.2,0.77,0.33,0.33,0.79,0.38,0.4,0.38,0.2
Get-Dataset-Description,475.46,48917.0,0.0,0.8,0.78,0.59,0.2,0.39,0.18,1.0,0.61,0.8,0.24,0.82,0.73,0.78,0.73,0.8
Get-Row-Count,253.98,23275.0,0.0,0.75,0.79,0.5,0.2,0.57,0.28,1.0,0.43,0.6,0.33,0.72,0.78,0.79,0.78,0.8
Get-Linked-Datasets,244.26,30525.0,0.6,0.75,0.8,0.75,0.6,0.69,0.68,0.6,0.31,0.8,0.7,0.32,0.79,0.8,0.79,0.6
Get-All-Versions,169.12,17503.0,0.8,0.9,1.0,1.0,0.8,0.92,0.8,0.8,0.08,1.0,0.8,0.2,0.99,1.0,1.0,0.8
Create-Ontology,124.52,10258.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Workspace-Title,140.38,14226.0,0.0,1.0,0.99,1.0,0.6,0.84,0.0,1.0,0.16,1.0,0.0,1.0,0.99,0.99,0.99,1.0
List-Users,126.5,10516.0,0.8,0.95,1.0,1.0,0.8,0.92,0.9,1.0,0.08,1.0,0.9,0.1,1.0,1.0,1.0,1.0
List-Columns,276.09,20657.0,0.4,0.95,1.0,0.6,0.4,0.77,0.68,1.0,0.23,0.7,0.73,0.37,0.98,0.99,0.98,1.0
Get-Stats,142.56,10896.0,0.6,1.0,1.0,1.0,0.6,0.84,0.8,1.0,0.16,1.0,0.8,0.2,0.99,1.0,0.99,1.0
Get-Lineage,253.65,22025.0,0.6,1.0,1.0,1.0,0.6,0.89,0.87,1.0,0.11,1.0,0.87,0.13,0.99,1.0,0.99,1.0
Get-all-datasets,179.65,32107.0,0.6,0.95,1.0,0.9,0.6,0.81,0.77,1.0,0.19,1.0,0.8,0.23,0.99,1.0,0.99,1.0
