,latency,tokens,tools_exact_match,nodes_jaccard_similarity,tools_extra_steps,pass@1,nodes_exact_match,nodes_longest_common_subsequence,tools_longest_common_subsequence,human_correct,nodes_edit_distance,pass@2,tools_jaccard_similarity,tools_edit_distance,nodes_unmatched_steps,tools_unmatched_steps,nodes_extra_steps,is_correct
Labeling-and-Semantic-Mapping,118.07,76963.0,0.0,0.75,0.99,0.74,0.0,0.66,0.72,1.0,0.34,1.0,1.0,0.28,0.92,0.98,0.96,0.8
Update-Dataset-Title,27.02,22285.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Delete-Dataset,64.95,19367.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Create-Regression,25.21,30501.0,0.8,0.95,1.0,1.0,0.8,0.93,0.92,1.0,0.07,1.0,0.92,0.08,0.99,1.0,0.99,1.0
Upload-Ingest-Two,42.76,33073.0,0.0,0.9,1.0,1.0,0.2,0.73,0.62,0.6,0.27,1.0,0.8,0.43,0.98,1.0,1.0,1.0
Create-Dataset-And-Find-Tag,61.24,69246.0,0.0,1.0,0.99,1.0,0.0,0.78,0.61,1.0,0.28,1.0,0.86,0.49,0.93,0.98,1.0,1.0
Create-Dataset,14.08,16246.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Create-And-Ingest,26.89,21153.0,1.0,0.9,1.0,1.0,0.6,0.92,1.0,1.0,0.08,1.0,1.0,0.0,0.99,1.0,1.0,1.0
Create-Ontology,27.28,13263.0,1.0,0.6,1.0,1.0,0.2,0.73,1.0,1.0,0.27,1.0,1.0,0.0,0.98,1.0,1.0,1.0
Create-Binary-Classification,23.66,28236.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Create-semantic-model,63.32,67629.0,0.0,0.6,0.79,0.64,0.0,0.52,0.52,0.0,0.48,0.68,0.8,0.48,0.75,0.79,0.77,0.6
Describe-Dataset,19.32,28332.0,0.0,0.75,1.0,1.0,0.0,0.74,0.57,0.6,0.26,1.0,0.47,0.43,0.98,0.99,0.99,1.0
Versions-And-Deltas,30.41,36680.0,0.0,0.75,0.99,0.7,0.0,0.63,0.47,1.0,0.37,0.8,0.73,0.53,0.95,0.99,0.98,0.4
Query-Semantic-Mapping,39.28,54023.0,0.0,0.15,0.2,0.2,0.0,0.16,0.1,0.0,0.84,0.2,0.1,0.9,0.19,0.2,0.2,0.0
Find-Related-Datasets,19.38,20547.0,0.2,1.0,1.0,1.0,0.8,0.92,0.6,0.2,0.08,1.0,0.7,0.4,1.0,1.0,1.0,0.0
Workspace-Title,9.17,13583.0,0.0,1.0,0.99,1.0,0.8,0.92,0.0,1.0,0.08,1.0,0.0,1.0,1.0,0.99,1.0,1.0
Search-Chemical-Datasets,14.08,20885.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
List-Users,11.94,12467.0,0.8,0.95,1.0,1.0,0.8,0.92,0.9,1.0,0.08,1.0,0.9,0.1,1.0,1.0,1.0,1.0
List-Tags,21.79,30618.0,0.2,0.8,0.99,0.93,0.2,0.68,0.67,0.6,0.32,1.0,0.8,0.33,0.97,0.99,0.98,0.6
List-Columns,18.95,22711.0,0.8,0.85,1.0,1.0,0.4,0.86,0.93,1.0,0.14,1.0,0.93,0.07,0.99,1.0,1.0,1.0
Get-Dataset-Description,28.51,35025.0,0.0,1.0,0.99,1.0,0.8,0.85,0.42,1.0,0.15,1.0,0.42,0.58,0.97,0.99,0.97,1.0
Get-Stats,9.61,12106.0,0.8,1.0,1.0,1.0,0.8,0.92,0.9,1.0,0.08,1.0,0.9,0.1,1.0,1.0,1.0,1.0
Get-Row-Count,17.26,21970.0,0.0,1.0,0.99,1.0,0.8,0.94,0.47,1.0,0.06,1.0,0.47,0.53,1.0,0.99,1.0,1.0
Get-Linked-Datasets,16.63,24916.0,1.0,0.95,1.0,1.0,0.8,0.96,1.0,1.0,0.04,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Get-Lineage,17.32,23999.0,0.8,1.0,1.0,1.0,0.8,0.94,0.93,1.0,0.06,1.0,0.93,0.07,1.0,1.0,1.0,1.0
Get-All-Versions,18.64,21464.0,1.0,0.85,1.0,1.0,0.4,0.88,1.0,1.0,0.12,1.0,1.0,0.0,0.99,1.0,1.0,1.0
Get-all-datasets,13.74,29890.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
