,latency,tokens,tools_exact_match,nodes_jaccard_similarity,tools_extra_steps,pass@1,nodes_exact_match,nodes_longest_common_subsequence,tools_longest_common_subsequence,human_correct,nodes_edit_distance,pass@2,tools_jaccard_similarity,tools_edit_distance,nodes_unmatched_steps,tools_unmatched_steps,nodes_extra_steps,is_correct
Update-Dataset-Title,40.13,22222.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Delete-Dataset,73.15,19529.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Create-semantic-model,81.46,53136.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Labeling-and-Semantic-Mapping,91.69,60458.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Upload-Ingest-Two,59.14,41249.0,0.4,0.9,1.0,1.0,0.4,0.79,0.77,0.8,0.21,1.0,0.77,0.23,0.98,1.0,0.98,1.0
Create-Dataset-And-Find-Tag,101.83,98630.0,0.0,0.8,0.78,0.64,0.0,0.57,0.39,0.6,0.43,0.69,0.6,0.61,0.71,0.78,0.77,0.8
Create-Dataset,17.18,16249.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Create-And-Ingest,35.68,23570.0,0.6,1.0,1.0,1.0,0.6,0.89,0.87,1.0,0.11,1.0,0.87,0.13,0.99,1.0,0.99,1.0
Create-Ontology,32.0,12055.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Create-Binary-Classification,43.75,31544.0,0.6,1.0,1.0,1.0,0.6,0.91,0.9,1.0,0.09,1.0,0.9,0.1,0.99,1.0,0.99,1.0
Create-Regression,41.91,27990.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Describe-Dataset,67.88,49907.0,0.0,0.7,0.79,0.8,0.0,0.45,0.37,1.0,0.55,0.8,0.37,0.63,0.76,0.79,0.76,0.8
Versions-And-Deltas,42.83,34061.0,0.0,0.75,0.99,0.8,0.0,0.68,0.49,0.6,0.32,0.8,0.73,0.51,0.96,0.99,0.98,0.6
Query-Semantic-Mapping,174.3,46280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Find-Related-Datasets,30.65,25808.0,0.0,0.95,1.0,0.93,0.8,0.91,0.5,0.0,0.09,1.0,0.47,0.5,0.99,0.99,0.99,0.0
Workspace-Title,10.45,12142.0,0.0,1.0,0.99,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.99,1.0,1.0
Search-Chemical-Datasets,36.71,36605.0,0.2,0.8,0.99,0.8,0.2,0.59,0.52,1.0,0.41,0.9,0.6,0.48,0.97,0.99,0.97,1.0
List-Users,18.98,15377.0,0.4,0.85,1.0,1.0,0.4,0.76,0.7,1.0,0.24,1.0,0.7,0.3,0.99,1.0,0.99,1.0
List-Tags,42.7,41639.0,0.6,0.75,0.8,0.73,0.6,0.69,0.68,0.8,0.31,0.73,0.73,0.32,0.79,0.8,0.79,0.6
List-Columns,24.02,21370.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Get-Dataset-Description,47.25,42064.0,0.0,0.95,0.98,0.97,0.2,0.61,0.31,1.0,0.39,1.0,0.37,0.69,0.95,0.98,0.96,1.0
Get-Stats,18.55,13213.0,0.6,1.0,1.0,1.0,0.6,0.84,0.8,1.0,0.16,1.0,0.8,0.2,0.99,1.0,0.99,1.0
Get-Row-Count,23.2,22544.0,0.0,1.0,0.99,1.0,0.8,0.94,0.47,1.0,0.06,1.0,0.5,0.53,1.0,0.99,1.0,1.0
Get-Linked-Datasets,31.65,31488.0,0.8,0.95,1.0,1.0,0.8,0.91,0.9,1.0,0.09,1.0,0.9,0.1,0.99,1.0,0.99,1.0
Get-Lineage,32.83,27719.0,0.6,0.8,0.8,0.8,0.6,0.74,0.73,0.8,0.26,0.8,0.73,0.27,0.8,0.8,0.8,0.8
Get-All-Versions,29.05,22425.0,0.8,0.95,1.0,1.0,0.8,0.94,0.93,1.0,0.06,1.0,1.0,0.07,1.0,1.0,1.0,1.0
Get-all-datasets,27.76,33863.0,0.6,0.9,1.0,1.0,0.6,0.84,0.8,1.0,0.16,1.0,0.8,0.2,0.99,1.0,0.99,1.0
