,latency,tokens,tools_exact_match,nodes_jaccard_similarity,tools_extra_steps,pass@1,nodes_exact_match,nodes_longest_common_subsequence,tools_longest_common_subsequence,human_correct,nodes_edit_distance,pass@2,tools_jaccard_similarity,tools_edit_distance,nodes_unmatched_steps,tools_unmatched_steps,nodes_extra_steps,is_correct
Create-semantic-model,58.93,64238.0,0.0,0.5,0.6,0.5,0.0,0.45,0.31,0.0,0.55,0.53,0.26,0.72,0.58,0.59,0.59,0.2
Create-Dataset-And-Find-Tag,56.2,69725.0,0.0,0.6,0.59,0.43,0.0,0.51,0.28,0.4,0.49,0.55,0.44,0.75,0.57,0.58,0.6,0.4
Create-Regression,32.57,32381.0,0.6,0.85,1.0,0.93,0.4,0.87,0.81,0.6,0.13,0.93,0.78,0.19,0.98,1.0,0.99,0.6
Update-Dataset-Title,38.76,21824.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Delete-Dataset,72.49,23596.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.8,0.8
Upload-Ingest-Two,47.27,33435.0,0.6,1.0,1.0,1.0,0.6,0.87,0.8,0.6,0.13,1.0,0.8,0.2,1.0,1.0,1.0,1.0
Create-Dataset,12.7,16205.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Create-And-Ingest,34.47,22957.0,0.8,0.95,1.0,0.93,0.8,0.91,0.85,0.8,0.09,1.0,0.84,0.15,0.99,1.0,0.99,1.0
Create-Ontology,30.75,16685.0,0.6,0.8,0.8,0.8,0.6,0.72,0.7,0.8,0.28,0.8,0.7,0.3,0.8,0.8,0.8,0.8
Create-Binary-Classification,44.03,40213.0,0.4,0.85,0.99,0.96,0.4,0.79,0.74,0.8,0.21,1.0,0.77,0.26,0.98,0.99,0.98,0.8
Describe-Dataset,51.82,49820.0,0.0,0.8,0.99,0.88,0.0,0.58,0.4,0.6,0.42,0.95,0.4,0.6,0.96,0.99,0.96,1.0
Labeling-and-Semantic-Mapping,56.73,70509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Versions-And-Deltas,47.66,41223.0,0.2,0.6,0.79,0.75,0.0,0.52,0.53,0.6,0.48,0.75,0.7,0.47,0.76,0.79,0.78,0.8
Query-Semantic-Mapping,53.55,53424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Find-Related-Datasets,29.13,32872.0,0.0,0.8,0.99,0.7,0.2,0.73,0.48,0.2,0.27,0.9,0.57,0.52,0.98,0.99,0.98,0.2
Workspace-Title,25.39,51292.0,0.0,0.7,0.98,0.63,0.0,0.29,0.0,0.8,0.71,0.83,0.0,1.0,0.93,0.98,0.93,0.8
Search-Chemical-Datasets,24.36,29356.0,0.4,0.9,1.0,0.7,0.4,0.73,0.67,1.0,0.27,1.0,0.77,0.33,0.98,1.0,0.98,1.0
List-Users,14.94,15998.0,0.6,0.9,1.0,0.8,0.6,0.77,0.73,1.0,0.23,1.0,0.9,0.27,0.98,1.0,0.98,0.8
List-Tags,19.14,25437.0,0.4,0.9,1.0,1.0,0.2,0.76,0.67,0.6,0.24,1.0,0.67,0.33,0.98,0.99,0.99,0.6
List-Columns,18.98,21851.0,1.0,0.9,1.0,1.0,0.6,0.92,1.0,1.0,0.08,1.0,1.0,0.0,0.99,1.0,1.0,1.0
Get-Dataset-Description,33.48,41182.0,0.0,0.5,0.6,0.6,0.2,0.52,0.3,1.0,0.48,0.6,0.3,0.7,0.59,0.6,0.6,0.6
Get-Stats,13.0,14058.0,0.6,0.95,1.0,0.9,0.6,0.81,0.77,1.0,0.19,1.0,0.9,0.23,0.99,1.0,0.99,1.0
Get-Row-Count,23.29,31116.0,0.0,0.8,0.79,0.8,0.4,0.62,0.3,1.0,0.38,0.8,0.37,0.7,0.78,0.79,0.78,0.8
Get-Linked-Datasets,25.0,29721.0,0.6,0.85,1.0,0.8,0.2,0.73,0.7,0.6,0.27,0.9,0.7,0.3,0.98,0.99,0.99,0.8
Get-Lineage,22.85,26995.0,0.6,0.85,1.0,1.0,0.4,0.82,0.87,1.0,0.18,1.0,0.87,0.13,0.98,1.0,0.99,0.0
Get-All-Versions,24.46,32831.0,0.6,0.75,0.8,0.8,0.6,0.71,0.7,0.8,0.29,0.8,0.8,0.3,0.79,0.8,0.79,0.8
Get-all-datasets,43.49,47596.0,0.2,0.85,0.99,1.0,0.2,0.6,0.53,1.0,0.4,1.0,0.73,0.47,0.96,0.99,0.96,1.0
