,latency,tokens,tools_exact_match,nodes_jaccard_similarity,tools_extra_steps,pass@1,nodes_exact_match,nodes_longest_common_subsequence,tools_longest_common_subsequence,human_correct,nodes_edit_distance,pass@2,tools_jaccard_similarity,tools_edit_distance,nodes_unmatched_steps,tools_unmatched_steps,nodes_extra_steps,is_correct
Create-Dataset-And-Find-Tag,100.34,65873.0,0.0,0.6,0.6,0.57,0.0,0.53,0.42,0.6,0.47,0.6,0.49,0.61,0.57,0.59,0.6,0.6
Update-Dataset-Title,86.77,22361.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Delete-Dataset,64.66,19184.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Upload-Ingest-Two,58.76,61445.0,0.4,0.9,1.0,0.95,0.4,0.79,0.7,0.6,0.21,0.95,0.67,0.3,0.98,0.99,0.98,0.6
Create-Dataset,16.5,16222.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Create-And-Ingest,28.37,21565.0,0.8,1.0,1.0,1.0,0.8,0.94,0.93,1.0,0.06,1.0,0.93,0.07,1.0,1.0,1.0,1.0
Create-Ontology,34.02,13287.0,0.8,0.95,1.0,1.0,0.8,0.92,0.9,1.0,0.08,1.0,0.9,0.1,1.0,1.0,1.0,1.0
Create-Binary-Classification,49.12,44801.0,0.0,0.6,0.6,0.6,0.0,0.47,0.45,0.6,0.53,0.6,0.45,0.55,0.59,0.6,0.59,0.4
Create-Regression,47.23,35814.0,0.2,0.9,1.0,1.0,0.2,0.82,0.8,1.0,0.18,1.0,0.8,0.2,0.98,1.0,0.98,1.0
Create-semantic-model,99.48,51297.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Labeling-and-Semantic-Mapping,105.52,57791.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Describe-Dataset,69.21,58296.0,0.0,0.7,0.79,0.8,0.0,0.44,0.35,1.0,0.56,0.8,0.35,0.65,0.76,0.79,0.76,0.8
Versions-And-Deltas,40.54,38217.0,0.0,0.6,0.79,0.75,0.0,0.57,0.48,0.4,0.43,0.75,0.55,0.52,0.78,0.79,0.78,0.2
Query-Semantic-Mapping,68.73,59680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Find-Related-Datasets,27.58,28468.0,0.0,0.8,0.99,0.6,0.2,0.74,0.37,0.0,0.26,0.9,0.4,0.63,0.98,0.99,0.98,0.0
Workspace-Title,18.74,20321.0,0.0,1.0,0.99,1.0,0.2,0.68,0.0,1.0,0.32,1.0,0.0,1.0,0.98,0.99,0.98,1.0
Search-Chemical-Datasets,21.92,23523.0,0.8,0.95,1.0,1.0,0.8,0.92,0.9,1.0,0.08,1.0,0.9,0.1,1.0,1.0,1.0,1.0
List-Users,11.51,12727.0,0.8,0.95,1.0,1.0,0.8,0.92,0.9,1.0,0.08,1.0,0.9,0.1,1.0,1.0,1.0,1.0
List-Tags,34.25,34611.0,0.2,0.65,0.8,0.73,0.2,0.57,0.47,0.6,0.43,0.8,0.48,0.53,0.78,0.79,0.78,0.4
List-Columns,20.19,21403.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Get-Dataset-Description,43.88,46585.0,0.0,0.5,0.6,0.6,0.2,0.52,0.3,0.6,0.48,0.6,0.3,0.7,0.59,0.6,0.6,0.6
Get-Stats,18.74,20359.0,0.4,0.7,0.8,0.7,0.4,0.57,0.53,1.0,0.43,0.8,0.57,0.47,0.78,0.8,0.78,0.8
Get-Row-Count,26.35,30103.0,0.0,0.6,0.6,0.6,0.4,0.54,0.27,0.8,0.46,0.6,0.27,0.73,0.6,0.6,0.6,0.6
Get-Linked-Datasets,19.53,24524.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Get-Lineage,22.95,23716.0,0.8,1.0,1.0,1.0,0.8,0.94,0.93,1.0,0.06,1.0,0.93,0.07,1.0,1.0,1.0,1.0
Get-All-Versions,25.41,23727.0,0.8,1.0,1.0,1.0,0.8,0.91,0.9,1.0,0.09,1.0,1.0,0.1,0.99,1.0,0.99,1.0
Get-all-datasets,27.4,40002.0,0.4,0.6,0.6,0.6,0.4,0.52,0.5,1.0,0.48,0.6,0.5,0.5,0.6,0.6,0.6,0.6
