,latency,tokens,tools_exact_match,nodes_jaccard_similarity,tools_extra_steps,pass@1,nodes_exact_match,nodes_longest_common_subsequence,tools_longest_common_subsequence,human_correct,nodes_edit_distance,pass@2,tools_jaccard_similarity,tools_edit_distance,nodes_unmatched_steps,tools_unmatched_steps,nodes_extra_steps,is_correct
Update-Dataset-Title,163.67,24405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Delete-Dataset,209.22,23840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Upload-Ingest-Two,160.98,27995.0,0.0,0.2,0.4,0.1,0.0,0.19,0.15,0.0,0.81,0.1,0.13,0.85,0.37,0.39,0.4,0.0
Create-Dataset-And-Find-Tag,138.7,24499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Create-Dataset,132.37,23544.0,0.0,0.15,0.2,0.0,0.0,0.08,0.07,0.2,0.92,0.0,0.1,0.93,0.19,0.2,0.19,0.2
Create-And-Ingest,166.12,28121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Create-Ontology,154.3,25680.0,0.0,0.1,0.2,0.1,0.0,0.04,0.0,0.0,0.96,0.1,0.0,1.0,0.18,0.2,0.18,0.0
Create-Binary-Classification,151.41,25060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Create-Regression,147.73,24471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Create-semantic-model,157.13,25636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Describe-Dataset,331.4,44285.0,0.0,0.4,0.78,0.37,0.0,0.18,0.16,0.4,0.82,0.48,0.33,0.84,0.7,0.78,0.73,0.8
Labeling-and-Semantic-Mapping,217.76,34325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Versions-And-Deltas,151.13,27594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Query-Semantic-Mapping,176.24,27871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Find-Related-Datasets,185.14,29365.0,0.2,0.3,0.59,0.4,0.0,0.23,0.37,0.0,0.77,0.5,0.4,0.63,0.57,0.59,0.59,0.0
Workspace-Title,66.57,10783.0,0.0,1.0,0.99,1.0,0.6,0.84,0.0,1.0,0.16,1.0,0.0,1.0,0.99,0.99,0.99,1.0
Search-Chemical-Datasets,257.06,19223.0,0.4,0.4,0.8,0.5,0.0,0.4,0.57,0.0,0.6,0.8,0.6,0.43,0.77,0.8,0.79,0.2
List-Users,77.69,14528.0,0.0,0.4,0.8,0.0,0.0,0.31,0.4,0.8,0.69,0.8,0.4,0.6,0.77,0.8,0.78,0.8
List-Tags,156.82,27524.0,0.0,0.2,0.4,0.17,0.0,0.14,0.07,0.2,0.86,0.4,0.07,0.93,0.37,0.39,0.38,0.2
List-Columns,151.23,25557.0,0.0,0.2,0.4,0.1,0.0,0.15,0.18,0.4,0.85,0.2,0.3,0.82,0.37,0.4,0.39,0.4
Get-Dataset-Description,139.31,22803.0,0.0,0.3,0.4,0.1,0.0,0.2,0.12,0.0,0.8,0.4,0.2,0.88,0.37,0.4,0.39,0.4
Get-Stats,241.61,36406.0,0.0,0.2,0.38,0.22,0.0,0.05,0.02,0.0,0.95,0.33,0.1,0.98,0.33,0.38,0.34,0.0
Get-Row-Count,112.05,21726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Get-Linked-Datasets,129.63,19436.0,0.0,0.4,0.8,0.3,0.0,0.34,0.28,0.0,0.66,0.7,0.3,0.82,0.76,0.79,0.78,0.0
Get-Lineage,256.89,32285.0,0.0,0.2,0.39,0.0,0.0,0.07,0.03,0.2,0.93,0.2,0.07,0.97,0.34,0.38,0.35,0.2
Get-All-Versions,131.61,24293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Get-all-datasets,124.55,16041.0,0.0,0.7,0.99,0.0,0.0,0.51,0.5,0.0,0.49,1.0,0.5,0.5,0.97,0.99,0.98,0.0
