,latency,tokens,tools_exact_match,nodes_jaccard_similarity,tools_extra_steps,pass@1,nodes_exact_match,nodes_longest_common_subsequence,tools_longest_common_subsequence,human_correct,nodes_edit_distance,pass@2,tools_jaccard_similarity,tools_edit_distance,nodes_unmatched_steps,tools_unmatched_steps,nodes_extra_steps,is_correct
Query-Semantic-Mapping,1718.3,84299.0,0.0,0.6,0.59,0.53,0.0,0.4,0.18,1.0,0.6,0.6,0.2,0.82,0.58,0.59,0.58,0.6
Update-Dataset-Title,372.71,37897.0,0.0,0.85,0.99,0.83,0.2,0.74,0.53,0.6,0.26,1.0,0.6,0.47,0.98,0.99,0.98,1.0
Delete-Dataset,275.51,33735.0,0.0,0.8,1.0,0.9,0.2,0.77,0.63,1.0,0.23,1.0,0.8,0.37,0.98,0.99,0.98,1.0
Upload-Ingest-Two,221.13,45646.0,0.8,1.0,1.0,1.0,1.0,1.0,0.95,1.0,0.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0
Create-Dataset-And-Find-Tag,779.18,116329.0,0.0,0.8,0.78,0.63,0.0,0.57,0.39,0.6,0.43,0.78,0.68,0.61,0.72,0.77,0.78,0.6
Create-Dataset,79.24,21221.0,0.6,1.0,1.0,1.0,0.6,0.84,0.8,1.0,0.16,1.0,0.8,0.2,0.99,1.0,0.99,1.0
Create-And-Ingest,146.99,27228.0,0.8,1.0,1.0,1.0,0.8,0.94,0.93,1.0,0.06,1.0,0.93,0.07,1.0,1.0,1.0,1.0
Create-Ontology,140.07,31492.0,0.0,0.7,0.99,1.0,0.0,0.4,0.33,1.0,0.6,1.0,0.6,0.67,0.96,0.99,0.96,0.2
Create-Binary-Classification,225.72,52682.0,0.0,0.75,0.99,1.0,0.0,0.7,0.69,1.0,0.3,1.0,0.95,0.31,0.97,0.99,0.97,0.8
Create-Regression,337.13,59023.0,0.0,0.75,0.99,0.96,0.0,0.64,0.61,1.0,0.36,1.0,0.8,0.39,0.96,0.99,0.96,1.0
Create-semantic-model,445.67,84299.0,0.0,0.75,0.79,0.65,0.0,0.59,0.52,0.8,0.41,0.77,0.68,0.51,0.77,0.79,0.77,0.8
Describe-Dataset,258.28,69921.0,0.0,0.85,0.98,0.98,0.0,0.52,0.4,1.0,0.48,1.0,0.43,0.6,0.93,0.98,0.93,1.0
Labeling-and-Semantic-Mapping,588.24,101376.0,0.0,0.8,0.99,0.88,0.0,0.78,0.72,0.6,0.22,1.0,0.94,0.28,0.96,0.98,0.96,1.0
Versions-And-Deltas,470.37,79252.0,0.0,0.6,0.78,0.65,0.0,0.38,0.27,0.6,0.62,0.77,0.6,0.73,0.73,0.78,0.74,0.6
Find-Related-Datasets,154.72,35156.0,0.0,0.85,0.99,1.0,0.2,0.77,0.5,0.0,0.23,1.0,0.47,0.5,0.98,0.99,0.98,0.0
Workspace-Title,539.11,21515.0,0.0,1.0,0.99,0.9,0.4,0.73,0.0,1.0,0.27,1.0,0.0,1.0,0.98,0.99,0.98,1.0
Search-Chemical-Datasets,1270.99,44702.0,0.4,0.85,0.99,1.0,0.4,0.67,0.62,1.0,0.33,1.0,0.77,0.38,0.98,0.99,0.98,1.0
List-Users,314.81,25295.0,0.0,0.75,0.99,1.0,0.0,0.55,0.45,1.0,0.45,1.0,1.0,0.55,0.97,0.99,0.97,1.0
List-Tags,382.91,35894.0,0.6,0.9,0.99,0.95,0.6,0.82,0.8,1.0,0.18,0.95,1.0,0.2,0.98,0.99,0.98,0.8
List-Columns,290.23,37175.0,0.4,0.9,1.0,1.0,0.4,0.74,0.73,1.0,0.26,1.0,0.93,0.27,0.98,1.0,0.98,1.0
Get-Dataset-Description,1162.46,77475.0,0.0,0.8,0.78,0.8,0.0,0.35,0.15,1.0,0.65,0.8,0.22,0.85,0.74,0.78,0.74,0.8
Get-Stats,410.53,32030.0,0.2,0.85,0.99,0.95,0.2,0.48,0.41,1.0,0.52,1.0,0.9,0.59,0.94,0.99,0.94,1.0
Get-Row-Count,515.3,43119.0,0.0,1.0,0.99,1.0,0.0,0.62,0.28,1.0,0.38,1.0,0.4,0.72,0.97,0.99,0.97,1.0
Get-Linked-Datasets,557.89,43803.0,0.4,0.85,1.0,1.0,0.4,0.77,0.73,1.0,0.23,1.0,1.0,0.27,0.98,1.0,0.98,1.0
Get-Lineage,704.14,38809.0,0.4,0.9,1.0,1.0,0.4,0.77,0.73,1.0,0.23,1.0,0.87,0.27,0.98,1.0,0.98,0.4
Get-All-Versions,765.08,39561.0,0.2,0.85,0.99,1.0,0.2,0.69,0.68,1.0,0.31,1.0,1.0,0.32,0.97,0.99,0.98,1.0
Get-all-datasets,486.91,43636.0,0.2,0.8,1.0,1.0,0.2,0.68,0.6,1.0,0.32,1.0,1.0,0.4,0.98,1.0,0.98,1.0
