,latency,tokens,tools_exact_match,nodes_jaccard_similarity,tools_extra_steps,pass@1,nodes_exact_match,nodes_longest_common_subsequence,tools_longest_common_subsequence,human_correct,nodes_edit_distance,pass@2,tools_jaccard_similarity,tools_edit_distance,nodes_unmatched_steps,tools_unmatched_steps,nodes_extra_steps,is_correct
Update-Dataset-Title,277.67,31120.0,0.0,0.65,0.99,0.82,0.0,0.37,0.41,1.0,0.63,1.0,0.53,0.59,0.92,0.99,0.95,1.0
Delete-Dataset,265.91,22524.0,0.0,0.7,1.0,0.6,0.0,0.5,0.63,1.0,0.5,1.0,0.6,0.37,0.95,0.99,0.97,1.0
Upload-Ingest-Two,309.63,57605.0,0.0,0.3,0.4,0.1,0.0,0.23,0.05,0.0,0.78,0.4,0.07,0.95,0.38,0.4,0.4,0.2
Create-Dataset-And-Find-Tag,264.0,45551.0,0.0,0.4,0.4,0.0,0.0,0.21,0.03,0.0,0.79,0.1,0.02,1.0,0.38,0.39,0.4,0.2
Create-Dataset,390.11,74968.0,0.0,0.15,0.2,0.0,0.0,0.06,0.0,0.0,0.94,0.2,0.0,1.0,0.18,0.2,0.18,0.2
Create-And-Ingest,124.01,21937.0,0.0,0.15,0.2,0.0,0.0,0.13,0.1,0.0,0.87,0.2,0.07,1.0,0.19,0.2,0.2,0.2
Create-Ontology,296.41,31861.0,0.0,0.2,0.4,0.2,0.0,0.11,0.13,0.4,0.89,0.4,0.2,0.87,0.37,0.4,0.38,0.4
Create-Binary-Classification,288.47,44076.0,0.0,0.15,0.2,0.0,0.0,0.1,0.04,0.0,0.9,0.1,0.04,0.96,0.18,0.2,0.19,0.2
Create-Regression,286.58,43687.0,0.0,0.15,0.2,0.0,0.0,0.08,0.08,0.0,0.92,0.1,0.1,0.92,0.18,0.2,0.19,0.2
Create-semantic-model,232.78,35316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Describe-Dataset,430.2,48285.0,0.0,0.38,0.59,0.4,0.0,0.17,0.23,0.6,0.83,0.6,0.3,0.77,0.52,0.59,0.54,0.6
Labeling-and-Semantic-Mapping,139.84,19347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Versions-And-Deltas,323.32,44116.0,0.0,0.45,0.59,0.25,0.0,0.23,0.19,0.0,0.77,0.56,0.28,0.81,0.53,0.59,0.55,0.0
Query-Semantic-Mapping,166.36,22684.0,0.0,0.15,0.2,0.1,0.0,0.1,0.07,0.2,0.9,0.2,0.1,0.93,0.19,0.2,0.19,0.2
Find-Related-Datasets,403.41,44373.0,0.0,0.25,0.39,0.17,0.0,0.13,0.13,0.0,0.87,0.33,0.2,0.87,0.36,0.39,0.38,0.0
Workspace-Title,56.49,9387.0,0.0,1.0,0.99,1.0,0.0,0.86,0.0,0.8,0.14,1.0,0.0,1.0,0.99,0.99,0.99,0.8
Search-Chemical-Datasets,317.64,28010.0,0.2,0.4,0.6,0.3,0.0,0.27,0.33,0.0,0.73,0.4,0.4,0.67,0.58,0.6,0.58,0.2
List-Users,123.12,18961.0,0.0,0.55,0.79,0.0,0.0,0.31,0.3,0.8,0.69,0.2,0.4,0.7,0.76,0.79,0.77,0.8
List-Tags,109.23,19058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
List-Columns,175.78,23617.0,0.8,0.55,1.0,0.9,0.0,0.5,0.93,1.0,0.5,1.0,1.0,0.07,0.95,1.0,0.99,1.0
Get-Dataset-Description,454.08,52843.0,0.0,0.95,0.97,0.77,0.0,0.33,0.05,1.0,0.67,1.0,0.12,0.95,0.87,0.97,0.88,1.0
Get-Stats,446.4,41174.0,0.0,0.25,0.39,0.17,0.0,0.08,0.0,0.0,0.92,0.23,0.0,1.0,0.36,0.39,0.36,0.0
Get-Row-Count,163.94,28887.0,0.0,0.6,0.59,0.2,0.0,0.27,0.07,0.8,0.73,0.4,0.1,0.93,0.56,0.59,0.57,0.6
Get-Linked-Datasets,111.82,19562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Get-Lineage,110.23,19045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Get-All-Versions,148.91,23346.0,0.2,0.5,0.8,0.53,0.0,0.36,0.43,0.6,0.64,0.7,0.47,0.57,0.75,0.79,0.78,0.6
Get-all-datasets,241.47,18565.0,0.6,0.4,0.8,0.8,0.0,0.41,0.6,0.0,0.59,0.8,0.6,0.4,0.78,0.8,0.79,0.0
